Name,DOB,2026,2025,Diff
Eli Johnson,05/31/1972,0,0,0
Hannah Newman,03/14/1961,0,1950,-1950
Miriam Jackson,11/30/1994,1700,0,1700
Amelia Sanchez,09/30/1984,1996,2150,-154
Henry Harris,09/11/1983,1969,1650,319
Isaac Williams,06/13/1946,1500,0,1500
Adam Bloom,04/23/1981,1084,950,134
Emma Azoulay,02/22/1946,2300,2300,0
David Fisher,02/08/1940,1500,0,1500
Brian Lee,10/29/1964,0,1200,-1200
Chloe Moore,04/06/1964,0,0,0
Jack Mizrahi,08/15/1984,2184,2300,-116
Moshe Bernstein,03/30/1966,0,2100,-2100
Avi Frank,08/21/1980,0,2700,-2700
Hannah Shapiro,10/11/1979,1149,1750,-601
Andrew Garcia,04/21/1983,902,1700,-798
Alex Azoulay,08/18/1978,377,1150,-773
Yael Peretz,11/09/1962,2180,2000,180
Aaron Williams,04/11/1971,1425,850,575
Alexander King,03/16/1972,1600,1600,0
James Walker,09/12/1978,2950,2500,450
Alexander Thomas,10/26/1967,1166,1650,-484
Jonathan Berg,06/05/1945,1050,1050,0
Gabriel Anderson,05/07/1940,2900,0,2900
Harper Azoulay,01/24/1975,400,400,0
Joshua Newman,11/04/1951,2808,1850,958
Olivia Walker,11/25/1964,2814,1900,914
Yael Bernstein,10/20/1953,0,2600,-2600
Noah Jackson,07/02/1994,1818,1450,368
Olivia Abboud,09/11/1969,1926,2700,-774
Ezra Bloom,04/12/1953,2383,1500,883
Brian Stein,12/11/1972,1371,800,571
Jacob Green,09/27/1949,1750,0,1750
Elizabeth Stone,05/31/1952,2590,1650,940
Amelia Wolf,05/04/1983,1380,1750,-370
Lucas Sanchez,10/20/1999,2497,1500,997
Aaron Katz,03/18/1992,1250,1250,0
Avi Cohen,07/30/1984,0,1950,-1950
William Kaplan,09/16/1983,1650,0,1650
Samuel Adler,10/12/1970,1700,1700,0
Tamar Robinson,10/07/1951,0,0,0
Daniel Allen,09/02/1982,3106,2150,956
Joshua Peretz,11/22/1983,1578,2000,-422
Amelia Becker,01/10/1983,1550,0,1550
Shira Klein,03/19/1975,2552,2400,152
Jessica Weiss,08/24/1975,1600,0,1600
Tamar Stone,09/13/1947,2200,0,2200
Emily Rodriguez,06/27/1944,2600,2600,0
Hannah Elias,06/13/1977,1400,1400,0
Isabella Smith,01/30/1993,2550,2550,0
David Stone,07/16/1943,0,3500,-3500
Jennifer Martinez,01/24/1943,1637,1750,-113
Ava Moore,06/05/1980,2385,2000,385
Moshe Friedman,09/14/1985,2784,2100,684
Benjamin Solomon,08/29/1968,0,1650,-1650
Adam Rosen,07/03/1962,2108,2250,-142
Isaac Fisher,08/13/1963,614,1350,-736
Andrew Levy,04/27/1962,2453,2150,303
Avi Klein,02/19/1995,1300,0,1300
Beth Goldman,07/14/1940,1885,2400,-515
Eve Katz,03/10/1981,0,1500,-1500
Noah Schwartz,09/06/1967,436,1200,-764
William Goldberg,06/27/1966,2007,1550,457
Mia Green,06/28/1966,2694,3000,-306
Emma Sanchez,10/04/1956,1884,2000,-116
Olivia Katz,03/26/1970,2680,3400,-720
Tamar Adler,03/04/1959,1821,2150,-329
Henry Smith,03/13/1948,3150,3150,0
Yael Miller,03/01/1942,4157,3550,607
Jessica Moore,03/23/1952,2688,2450,238
Rachel Rosenberg,03/03/1966,0,2650,-2650
Isabel Diamond,12/09/1973,0,2200,-2200
Hannah Walker,11/21/1962,0,2500,-2500
Alexander Stone,11/19/1970,1700,0,1700
Hannah Goldberg,09/05/1988,2264,1950,314
David Robinson,05/19/1962,0,2000,-2000
Benjamin Mizrahi,07/16/1952,400,0,400
Emma Jackson,11/01/1972,0,0,0
Samuel Friedman,06/06/1984,0,1900,-1900
Olivia Weiss,10/11/1997,1822,1500,322
Abigail Newman,12/22/1965,2864,2550,314
Alex Jackson,09/13/1952,1486,2200,-714
Shira Klein,05/08/1969,1503,1400,103
Samuel Taylor,05/30/1966,1976,2250,-274
Michael Simon,07/24/1978,1850,0,1850
James Martinez,07/21/1949,2350,0,2350
Shira Clark,03/26/1941,1900,1900,0
James Lee,07/04/1960,3465,2900,565
Yael Silver,03/20/1968,2348,1550,798
Ariel Sanchez,02/28/1972,1642,1400,242
Rachel Anderson,08/09/1950,1786,2200,-414
Anna Klein,05/23/2000,0,0,0
Yael Martinez,09/24/1980,450,0,450
Avi Rosen,06/28/1974,2139,1500,639
Julia Williams,01/08/1964,0,0,0
Grace Levy,01/05/1963,1459,850,609
Leah Adler,08/22/1955,0,2150,-2150
Jordan Silver,09/07/1948,0,2700,-2700
Isabella Martinez,11/10/1985,0,0,0
Isabella Anderson,09/10/1949,3050,0,3050
Shira Fisher,09/29/1998,0,0,0
Rachel Levy,08/23/1985,0,1900,-1900
Dina Moore,11/03/1968,1800,0,1800
Jonathan Sanchez,03/14/1950,0,2100,-2100
Ari Harris,11/08/1985,1045,1650,-605
Amelia Rosenberg,12/01/1950,1968,2550,-582
Brian Wilson,08/16/1985,2454,1950,504
Daniel Mizrahi,09/30/1955,2800,2800,0
Hannah Bloom,08/07/1959,1307,1500,-193
Beth Kaplan,10/30/1983,2212,1450,762
Miriam Jones,11/13/1946,0,2700,-2700
Dina Friedman,10/31/1980,2259,1900,359
Tamar Price,02/23/1946,1150,0,1150
Michael Shapiro,08/17/1983,911,1700,-789
Daniel Garcia,01/03/1950,1840,1500,340
Ruth Williams,01/08/1982,0,2150,-2150
Jennifer Adler,09/13/1973,1277,850,427
Eli Anderson,11/04/1956,2522,2050,472
Joshua Abboud,04/08/1960,2189,1400,789
Rebecca Wolf,01/15/1949,2400,2400,0
Samuel Sanchez,11/29/1973,1928,2450,-522
Isaac Miller,07/24/1970,0,1800,-1800
Ethan Clark,02/29/1972,2206,1500,706
Ezra Thomas,06/16/1982,950,950,0
Emily Abboud,03/10/1975,1673,2400,-727
Mia Johnson,02/04/1960,2747,2250,497
James Lewis,10/05/1955,2804,2000,804
Rachel Brown,10/20/1949,2300,0,2300
Olivia Becker,06/04/1955,2867,2300,567
Avi Williams,04/17/1977,2495,1650,845
Yael Abboud,08/28/1981,0,0,0
Julia Abboud,04/17/1965,3385,2400,985
Samuel Becker,04/20/1946,1585,1850,-265
Daniel Robinson,10/08/1950,2950,2100,850
Liam Davis,11/19/1979,708,1300,-592
Amelia Katz,03/03/1948,2100,2100,0
Aaron Clark,11/23/1994,100,700,-600
Chloe Mizrahi,01/08/1956,1430,1850,-420
Ruth Fox,06/07/1972,2100,0,2100
Sarah Lee,11/01/1983,0,0,0
Zachary Thomas,09/28/1975,2711,2400,311
Avi Elias,11/08/1969,1638,2250,-612
Henry Sanchez,07/07/1952,800,800,0
Rebecca Gordon,12/19/1948,2685,3250,-565
Beth Elias,02/13/1976,700,0,700
Eli Friedman,05/03/1948,3063,2250,813
William Taylor,06/26/1983,1742,2300,-558
Liam Frank,12/09/1946,3876,3150,726
Jessica Lee,03/30/1985,1220,1600,-380
Charlotte Walker,08/07/1943,0,2050,-2050
Isaac Stein,02/27/1940,0,0,0
Eliana Stone,02/07/1977,2039,2500,-461
Beth Fisher,10/30/1961,1050,0,1050
Alexander Thompson,10/19/1969,2306,2550,-244
Harper Rosen,10/25/1970,0,800,-800
Ezra Katz,08/20/1957,1920,2650,-730
Tamar Thompson,02/19/1953,0,0,0
Isabella Allen,10/17/1949,3450,0,3450
Harper Azoulay,06/28/1947,0,1450,-1450
Jordan Anderson,08/22/1965,0,0,0
Deborah Jackson,02/25/1955,2623,1800,823
Andrew Wilson,02/20/1969,0,0,0
Ari Clark,09/25/1977,2989,2700,289
James Robinson,09/01/1979,0,3400,-3400
Michael Goldberg,04/16/1966,2345,2500,-155
Elizabeth Jones,11/11/1945,1600,0,1600
Eli Smith,04/11/1957,3592,2950,642
Adam White,02/25/1977,1863,1200,663
Abigail Robinson,01/16/1943,2800,0,2800
Benjamin Allen,04/10/1949,0,0,0
Aaron Schwartz,10/31/1969,0,1350,-1350
David Thomas,12/24/1968,1245,2000,-755
Aaron Schwartz,04/11/1976,3429,3100,329
William Johnson,08/04/1980,2310,1400,910
Joshua Becker,10/31/1990,1178,450,728
Alexander Klein,06/14/1972,0,0,0
Ruth Peretz,09/26/1946,2050,2050,0
Anna Martin,07/02/1961,1050,1050,0
Jason Walker,04/06/1949,850,850,0
James Williams,10/07/1973,0,0,0
Ezra Smith,11/06/1961,1650,0,1650
Abigail Stone,05/17/1947,2472,1500,972
Alyssa Bloom,06/01/1980,1131,1600,-469
Lucas Clark,03/20/1945,1534,2100,-566
Mia Abboud,09/13/1949,1850,0,1850
Chloe King,12/10/1964,2904,2600,304
Leah Garcia,09/15/1992,0,0,0
David Diamond,08/17/1941,1312,800,512
Sarah Thompson,09/07/1982,1150,1650,-500
Rebecca Clark,11/09/1991,0,0,0
Adam Gordon,01/21/1968,1823,2000,-177
Hannah Lee,10/02/1994,1078,1550,-472
David Brown,01/11/1965,0,2350,-2350
Ezra Taylor,11/28/1983,1015,1650,-635
Isaac Taylor,01/06/1967,1950,0,1950
Joshua Mizrahi,12/15/1956,0,0,0
Samuel Wolf,01/14/1958,2227,1700,527
Emily Newman,08/19/1942,3500,0,3500
Rebecca Bloom,06/07/1967,0,900,-900
Isaac Solomon,04/24/1951,1750,0,1750
Jennifer Kaplan,09/02/1971,1700,0,1700
Benjamin Mizrahi,12/07/1984,2554,1800,754
Jonathan Silver,12/01/1960,1900,1900,0
Daniel Bloom,04/16/1969,0,650,-650
Amelia Brown,03/07/1984,701,1500,-799
Amelia Stone,01/24/1949,1785,2500,-715
Alyssa Smith,07/03/1954,2750,2750,0
Maya Rosen,05/13/1993,2293,2050,243
Charlotte Azoulay,01/28/1969,2840,2500,340
Jessica Goldman,04/04/1958,2690,2400,290
Eli Williams,10/25/1946,1150,0,1150
Hannah Dahan,12/23/1984,1200,1200,0
Jonathan Martinez,08/24/1980,0,1150,-1150
Alyssa Moore,02/28/1950,1450,0,1450
Beth Thompson,02/03/1970,0,1300,-1300
Benjamin Goldman,12/01/1982,460,1150,-690
Brian Goldman,06/19/1970,2550,2550,0
Eliana Becker,06/06/1979,0,0,0
Alex Goldberg,05/23/1962,1323,1450,-127
Chloe Lee,06/25/1969,2100,2100,0
Rebecca Shapiro,12/05/1973,1503,1700,-197
David Thompson,02/08/2000,1600,1600,0
Ari Moore,07/15/1980,1251,1500,-249
Jason Peretz,02/08/1959,709,1100,-391
Isabel Jackson,07/28/1996,2734,1850,884
James Stone,09/01/1992,137,850,-713
Henry Miller,12/19/1943,3404,3550,-146
Julia Robinson,12/25/1948,4382,4050,332
Alex Cohen,02/21/1957,1800,0,1800
Jack Jackson,10/11/1948,0,2400,-2400
Moshe Harris,10/20/1970,807,1450,-643
Rachel Frank,03/22/1947,0,2350,-2350
David Green,10/02/1984,1250,0,1250
Gabriel Jackson,09/18/1959,382,1150,-768
Samuel Walker,04/12/1957,362,1100,-738
Jordan Green,04/24/1964,0,1750,-1750
Emma Goldberg,05/30/1958,3141,2300,841
Isabella Katz,07/06/1974,0,2450,-2450
Isaac Taylor,10/22/1998,1296,1450,-154
Joseph Lewis,09/27/1984,3400,0,3400
Ethan Schwartz,05/19/1993,1273,950,323
Ethan Thomas,08/04/1979,3071,2500,571
Ari Abboud,02/28/1947,1750,0,1750
Eve Young,06/17/1955,1600,1600,0
Nathan Harris,02/12/1943,0,0,0
Isabella Wolf,07/28/1956,3357,3950,-593
Maya Lee,01/17/1973,1982,2700,-718
Eliana Solomon,09/04/1956,1700,0,1700
Alyssa Stone,07/15/1963,517,1250,-733
Joshua Fisher,01/18/1958,3076,2200,876
Alexander Clark,07/23/1968,0,0,0
Nathan Dahan,04/22/1980,1450,1450,0
Harper Bernstein,05/29/1994,1131,1450,-319
Jordan White,03/31/1942,1913,1500,413
Jessica Moore,07/19/1956,1042,1700,-658
Emma Simon,01/03/1947,2300,2300,0
James Dahan,06/21/1975,0,1650,-1650
Jennifer Friedman,02/15/1973,1760,1300,460
Henry Becker,03/23/1963,1649,1350,299
Olivia Schwartz,06/18/1976,0,0,0
William Lee,08/01/1957,1950,1950,0
Leah Gordon,12/21/1969,1890,1600,290
Eli Simon,01/23/1966,100,400,-300
Nathan Stone,08/27/1946,0,0,0
Michael Thomas,08/25/1952,0,1800,-1800
Abigail Anderson,03/27/1982,1898,1000,898
Jacob Friedman,05/02/1953,750,0,750
Ezra Mizrahi,07/28/1950,0,950,-950
Joshua King,05/22/1970,1787,1600,187
Miriam Price,09/07/1972,1800,0,1800
David Anderson,07/13/1991,0,0,0
Ari Wolf,01/28/1947,1050,1050,0
Deborah Smith,09/23/1991,0,2150,-2150
Shira Frank,03/21/1950,0,0,0
Rebecca Stone,11/30/1966,2150,2150,0
Mia Wolf,07/19/1944,838,1200,-362
Avi Jackson,09/03/1966,1350,1350,0
Benjamin Stein,12/13/1957,2700,0,2700
Zachary Azoulay,01/30/1963,1821,850,971
Isaac Goldman,11/08/1965,0,2400,-2400
Nathan Mizrahi,08/12/1964,2526,2200,326
Jonathan Davis,04/18/1958,2800,0,2800
Ariel Fisher,06/01/1947,0,0,0
David Levy,10/17/1960,1676,2000,-324
Nathan Rodriguez,03/17/1974,3050,2100,950
Ezra Weiss,03/27/1972,1200,0,1200
William Rodriguez,03/06/1940,1950,0,1950
Harper Shapiro,01/29/1961,1350,1350,0
Joshua Mizrahi,10/13/1976,294,800,-506
Sarah Martinez,09/07/1978,1450,1450,0
Jennifer Peretz,01/18/1947,0,0,0
Julia Silver,12/03/1973,865,1250,-385
Emily Rodriguez,07/21/1984,1164,1950,-786
Rachel Newman,09/14/1965,1700,0,1700
Eve Bloom,09/14/1946,1434,2150,-716
Jessica Diamond,02/10/1966,0,0,0
Miriam Jones,10/05/1966,2100,2100,0
Ariel Thompson,06/23/1981,0,1100,-1100
Ruth Green,03/18/1941,0,0,0
Dina Goldman,09/09/1974,2350,2350,0
Lucas Newman,02/19/1995,661,1350,-689
Emma Walker,04/24/1975,0,1350,-1350
Benjamin Harris,07/30/1941,1350,1350,0
David Goldberg,08/07/1972,1850,1850,0
Moshe Walker,08/25/1980,1489,1600,-111
James Rosen,08/01/1954,2501,2700,-199
Joseph Schwartz,02/13/1952,2728,1850,878
Daniel Johnson,04/21/1987,1450,0,1450
Lucas Young,04/08/1986,1282,1600,-318
Isabella Robinson,01/20/1968,3099,2350,749
Zachary Rosenberg,04/06/1944,1628,1100,528
Yael Azoulay,04/02/1985,3463,2500,963
Anna Brown,01/25/1981,2166,2550,-384
Julia Young,09/22/1948,1400,1400,0
Ezra White,04/09/1940,1750,0,1750
Emma White,01/19/1959,1550,1550,0
Miriam Azoulay,10/19/1963,2012,1100,912
Noah Johnson,12/15/1967,1650,0,1650
Eve Elias,02/10/1987,0,1100,-1100
Leah Cohen,01/02/1941,1603,950,653
Moshe Jackson,11/25/1984,1400,1400,0
James Thompson,08/15/1952,3750,2950,800
Ariel Harris,05/10/1985,118,700,-582
Rachel Weiss,06/16/1955,2150,0,2150
Brian Robinson,01/03/1947,1590,1950,-360
Rachel Klein,07/09/1982,1174,850,324
Ava Goldman,01/15/1990,0,1400,-1400
Eve Thomas,08/09/1968,1243,2000,-757
Alex Friedman,06/22/1965,2850,2850,0
Amelia Newman,02/18/1943,3150,3150,0
Avi Rubin,12/10/1964,2818,2450,368
Emily Lewis,11/07/1961,1690,1200,490
Daniel Schwartz,10/19/1983,0,1450,-1450
Henry Klein,01/19/1981,1844,1150,694
Gabriel Rubin,08/02/1963,2049,2700,-651
Grace Simon,10/06/1948,2019,2200,-181
Jessica Klein,05/29/1948,2475,1650,825
Sarah White,05/27/1992,2000,0,2000
Abigail Levy,06/29/1976,2553,2750,-197
Levi Jackson,07/26/1989,1700,0,1700
Sophia Adler,12/13/1957,2645,3200,-555
Deborah Thompson,12/03/1966,2710,3050,-340
Abigail Rosenberg,03/02/1976,1891,1500,391
Anna Harris,10/12/1982,2214,2450,-236
Hannah Goldman,01/17/1965,2600,2600,0
Ariel King,10/18/1956,2555,2000,555
Ruth Jones,05/08/1963,2519,1700,819
Gabriel Davis,06/04/1945,1118,650,468
Eli Sanchez,04/08/1944,2560,3250,-690
Joshua Robinson,03/24/1997,1894,1200,694
Gabriel Moore,10/06/1963,2987,2400,587
Eliana Berg,06/15/1957,2326,2800,-474
Maya Gordon,06/09/1958,3495,2950,545
James Diamond,01/07/1969,0,1200,-1200
Joseph Garcia,09/10/1966,3009,2550,459
Jessica Brown,12/31/1949,1831,1550,281
Moshe Silver,06/21/1954,3292,2750,542
Eve Berg,10/19/1993,1400,0,1400
Michael Smith,12/24/1972,0,2500,-2500
Deborah Smith,05/28/1981,940,1600,-660
Shira King,08/11/1945,2300,0,2300
Rebecca Allen,07/15/1961,691,1100,-409
Avi Sanchez,01/19/1948,1271,1700,-429
Shira Diamond,07/26/1983,2185,1750,435
Gabriel Berg,12/27/1980,2429,1900,529
Levi Becker,06/30/1999,1250,0,1250
Brian Silver,10/28/1962,1866,2050,-184
