Date,ID,Member Since,Type,Charge,Join Date,Zip,Primary's Birthday,Account ID,Type External ID,Date Entered
2/25/2023,TXN00000464,11/18/2000,Religious School Fees,1658,11/18/2000,11206,10/26/1983,ACC010060,TYPE3,2/26/2023
2/25/2023,TXN00001071,11/18/2004,Adult Education,144,11/18/2004,10128,1/4/1958,ACC010138,TYPE5,2/25/2023
2/26/2023,TXN00001351,11/18/2010,High Holiday Tickets,500,11/18/2010,10282,12/23/1972,ACC010176,TYPE4,2/26/2023
2/27/2023,TXN00000187,11/18/2002,Adult Education,223,11/18/2002,10030,10/4/1978,ACC010023,TYPE5,2/28/2023
2/27/2023,TXN00000555,11/18/2023,High Holiday Tickets,227,11/18/2023,11201,8/15/1947,ACC010070,TYPE4,2/28/2023
2/27/2023,TXN00000901,11/18/2005,Building Fund,4782,11/18/2005,10031,4/28/1947,ACC010114,TYPE6,2/28/2023
2/28/2023,TXN00000927,11/18/2000,Adult Education,122,11/18/2000,10022,9/13/1956,ACC010119,TYPE5,3/1/2023
3/1/2023,TXN00000045,11/18/1998,Religious School Fees,3000,11/18/1998,10069,11/18/1961,ACC010005,TYPE3,3/1/2023
3/1/2023,TXN00001360,11/18/2016,Building Fund,3026,11/18/2016,10001,5/22/1956,ACC010177,TYPE6,3/1/2023
3/2/2023,TXN00001160,11/18/2005,Hineini Pledges,10655,11/18/2005,10011,6/15/1959,ACC010148,TYPE1,3/3/2023
3/3/2023,TXN00000401,11/18/2023,High Holiday Tickets,500,11/18/2023,10026,1/27/1984,ACC010051,TYPE4,3/4/2023
3/4/2023,TXN00000415,11/18/2014,Building Fund,3518,11/18/2014,10010,10/14/1953,ACC010054,TYPE6,3/4/2023
3/4/2023,TXN00000720,11/18/2022,Religious School Fees,3000,11/18/2022,10026,11/6/1985,ACC010092,TYPE3,3/5/2023
3/4/2023,TXN00000947,11/18/2002,Building Fund,5000,11/18/2002,10002,9/6/1989,ACC010122,TYPE6,3/4/2023
3/4/2023,TXN00001386,11/18/2018,HH Pledges/Memorial Book,1000,11/18/2018,11211,6/18/1967,ACC010179,TYPE2,3/6/2023
3/6/2023,TXN00001418,11/18/2010,Religious School Fees,918,11/18/2010,10033,6/22/1974,ACC010183,TYPE3,3/7/2023
3/7/2023,TXN00000048,11/18/1998,Adult Education,300,11/18/1998,10069,11/18/1961,ACC010005,TYPE5,3/7/2023
3/7/2023,TXN00001005,11/18/2000,Hineini Pledges,8966,11/18/2000,11201,9/19/1999,ACC010129,TYPE1,3/8/2023
3/8/2023,TXN00000580,11/18/2011,Hineini Pledges,2683,11/18/2011,11231,11/23/1957,ACC010073,TYPE1,3/9/2023
3/8/2023,TXN00001361,11/18/2016,Building Fund,177,11/18/2016,10001,5/22/1956,ACC010177,TYPE6,3/9/2023
3/10/2023,TXN00001499,11/18/1998,Hineini Pledges,9651,11/18/1998,10027,4/11/1998,ACC010194,TYPE1,3/12/2023
3/11/2023,TXN00000563,11/18/1997,Building Fund,928,11/18/1997,10065,12/7/1987,ACC010071,TYPE6,3/11/2023
3/12/2023,TXN00001241,11/18/2006,Religious School Fees,2542,11/18/2006,10010,3/16/1970,ACC010160,TYPE3,3/12/2023
3/13/2023,TXN00000104,11/18/1998,Hineini Pledges,4721,11/18/1998,10036,9/28/1960,ACC010012,TYPE1,3/14/2023
3/14/2023,TXN00000134,11/18/2002,Building Fund,1046,11/18/2002,11206,6/8/1951,ACC010015,TYPE6,3/16/2023
3/15/2023,TXN00000015,11/18/2000,HH Pledges/Memorial Book,1000,11/18/2000,11205,12/21/1967,ACC010002,TYPE2,3/15/2023
3/15/2023,TXN00000561,11/18/1997,High Holiday Tickets,500,11/18/1997,10065,12/7/1987,ACC010071,TYPE4,3/15/2023
3/16/2023,TXN00000068,11/18/2008,Building Fund,1038,11/18/2008,10036,4/24/1949,ACC010007,TYPE6,3/16/2023
3/16/2023,TXN00000549,11/18/2020,Hineini Pledges,1800,11/18/2020,10023,1/23/1993,ACC010069,TYPE1,3/18/2023
3/16/2023,TXN00001510,11/18/2010,Hineini Pledges,10729,11/18/2010,10025,8/16/1953,ACC010197,TYPE1,3/17/2023
3/18/2023,TXN00001393,11/18/2007,Adult Education,238,11/18/2007,10018,9/1/1979,ACC010180,TYPE5,3/18/2023
3/19/2023,TXN00000770,11/18/1995,HH Pledges/Memorial Book,482,11/18/1995,10001,7/5/1962,ACC010099,TYPE2,3/20/2023
3/21/2023,TXN00000847,11/18/1999,Hineini Pledges,2291,11/18/1999,10075,3/26/1982,ACC010109,TYPE1,3/21/2023
3/22/2023,TXN00001264,11/18/1995,Religious School Fees,3000,11/18/1995,10030,6/6/1959,ACC010164,TYPE3,3/23/2023
3/24/2023,TXN00000477,11/18/2021,Hineini Pledges,1800,11/18/2021,10026,5/9/1961,ACC010061,TYPE1,3/24/2023
3/26/2023,TXN00001078,11/18/2005,Adult Education,181,11/18/2005,10024,10/5/1983,ACC010139,TYPE5,3/26/2023
3/26/2023,TXN00001250,11/18/2007,High Holiday Tickets,369,11/18/2007,10028,5/6/1949,ACC010161,TYPE4,3/26/2023
3/27/2023,TXN00000305,11/18/2015,Building Fund,302,11/18/2015,10012,4/1/1964,ACC010037,TYPE6,3/29/2023
3/28/2023,TXN00000087,11/18/2000,Hineini Pledges,9795,11/18/2000,10023,2/18/1960,ACC010010,TYPE1,3/29/2023
3/29/2023,TXN00000095,11/18/1998,Building Fund,503,11/18/1998,11231,6/7/1974,ACC010011,TYPE6,3/29/2023
3/29/2023,TXN00000714,11/18/2006,High Holiday Tickets,337,11/18/2006,10011,2/8/1949,ACC010091,TYPE4,3/29/2023
3/30/2023,TXN00000505,11/18/1996,Adult Education,300,11/18/1996,10044,1/4/1986,ACC010064,TYPE5,3/31/2023
3/30/2023,TXN00000957,11/18/2002,Building Fund,937,11/18/2002,10017,5/27/1964,ACC010123,TYPE6,3/30/2023
3/30/2023,TXN00001488,11/18/2007,Religious School Fees,2901,11/18/2007,10065,6/13/1972,ACC010192,TYPE3,3/31/2023
3/31/2023,TXN00000325,11/18/2014,Religious School Fees,1832,11/18/2014,10032,9/20/1992,ACC010039,TYPE3,4/1/2023
3/31/2023,TXN00000449,11/18/1999,High Holiday Tickets,500,11/18/1999,10029,7/24/1970,ACC010058,TYPE4,3/31/2023
3/31/2023,TXN00000637,11/18/2010,Religious School Fees,685,11/18/2010,11215,2/7/2000,ACC010081,TYPE3,4/2/2023
4/2/2023,TXN00000489,11/18/2013,HH Pledges/Memorial Book,488,11/18/2013,10021,1/17/1955,ACC010063,TYPE2,4/2/2023
4/2/2023,TXN00001159,11/18/2005,HH Pledges/Memorial Book,1000,11/18/2005,10011,6/15/1959,ACC010148,TYPE2,4/3/2023
4/2/2023,TXN00001419,11/18/2010,Religious School Fees,3000,11/18/2010,10033,6/22/1974,ACC010183,TYPE3,4/4/2023
4/3/2023,TXN00000987,11/18/1998,Religious School Fees,1005,11/18/1998,10030,5/28/1991,ACC010126,TYPE3,4/5/2023
4/4/2023,TXN00000575,11/18/2018,High Holiday Tickets,360,11/18/2018,10021,2/21/1993,ACC010072,TYPE4,4/6/2023
4/4/2023,TXN00000926,11/18/2000,Building Fund,1095,11/18/2000,10022,9/13/1956,ACC010119,TYPE6,4/6/2023
4/4/2023,TXN00000989,11/18/1998,Hineini Pledges,7677,11/18/1998,10030,5/28/1991,ACC010126,TYPE1,4/5/2023
4/5/2023,TXN00000143,11/18/2001,Adult Education,222,11/18/2001,11211,4/3/1967,ACC010016,TYPE5,4/5/2023
4/5/2023,TXN00000466,11/18/2000,High Holiday Tickets,500,11/18/2000,11206,10/26/1983,ACC010060,TYPE4,4/7/2023
4/6/2023,TXN00000976,11/18/1996,Religious School Fees,1379,11/18/1996,10025,11/28/1954,ACC010125,TYPE3,4/7/2023
4/8/2023,TXN00000556,11/18/2023,HH Pledges/Memorial Book,611,11/18/2023,11201,8/15/1947,ACC010070,TYPE2,4/9/2023
4/8/2023,TXN00000888,11/18/2012,Adult Education,300,11/18/2012,10024,9/6/1965,ACC010113,TYPE5,4/9/2023
4/8/2023,TXN00001014,11/18/2016,Adult Education,169,11/18/2016,10016,1/22/1963,ACC010131,TYPE5,4/8/2023
4/9/2023,TXN00000067,11/18/2008,Building Fund,1042,11/18/2008,10036,4/24/1949,ACC010007,TYPE6,4/11/2023
4/10/2023,TXN00000504,11/18/1996,Building Fund,396,11/18/1996,10044,1/4/1986,ACC010064,TYPE6,4/12/2023
4/10/2023,TXN00001052,11/18/1995,Religious School Fees,1007,11/18/1995,10012,8/28/1950,ACC010136,TYPE3,4/12/2023
4/10/2023,TXN00001173,11/18/1995,Building Fund,373,11/18/1995,10025,10/18/1948,ACC010151,TYPE6,4/12/2023
4/13/2023,TXN00000713,11/18/2006,Hineini Pledges,1800,11/18/2006,10011,2/8/1949,ACC010091,TYPE1,4/14/2023
4/13/2023,TXN00001284,11/18/2015,HH Pledges/Memorial Book,313,11/18/2015,11201,11/4/1992,ACC010168,TYPE2,4/14/2023
4/14/2023,TXN00001174,11/18/1995,HH Pledges/Memorial Book,1000,11/18/1995,10025,10/18/1948,ACC010151,TYPE2,4/16/2023
4/15/2023,TXN00000330,11/18/2000,High Holiday Tickets,181,11/18/2000,11205,7/24/1985,ACC010040,TYPE4,4/16/2023
4/16/2023,TXN00000105,11/18/1998,HH Pledges/Memorial Book,1000,11/18/1998,10036,9/28/1960,ACC010012,TYPE2,4/17/2023
4/16/2023,TXN00000392,11/18/2023,Adult Education,300,11/18/2023,10018,11/12/1974,ACC010050,TYPE5,4/17/2023
4/17/2023,TXN00000964,11/18/2011,Religious School Fees,1969,11/18/2011,10024,1/13/1980,ACC010124,TYPE3,4/17/2023
4/18/2023,TXN00000121,11/18/1999,Building Fund,4807,11/18/1999,10014,3/21/1986,ACC010014,TYPE6,4/18/2023
4/18/2023,TXN00000734,11/18/2003,Hineini Pledges,2376,11/18/2003,11231,4/2/1945,ACC010094,TYPE1,4/18/2023
4/18/2023,TXN00001423,11/18/2003,High Holiday Tickets,500,11/18/2003,11222,1/2/1961,ACC010184,TYPE4,4/19/2023
4/20/2023,TXN00000918,11/18/2011,HH Pledges/Memorial Book,282,11/18/2011,10021,10/2/1966,ACC010118,TYPE2,4/21/2023
4/21/2023,TXN00000413,11/18/2014,High Holiday Tickets,334,11/18/2014,10010,10/14/1953,ACC010054,TYPE4,4/22/2023
4/21/2023,TXN00000994,11/18/2016,Hineini Pledges,5981,11/18/2016,10026,5/22/1997,ACC010127,TYPE1,4/23/2023
4/21/2023,TXN00001491,11/18/2002,Building Fund,1316,11/18/2002,10017,5/1/1943,ACC010193,TYPE6,4/22/2023
4/22/2023,TXN00000236,11/18/1998,Hineini Pledges,1800,11/18/1998,10027,4/21/1962,ACC010029,TYPE1,4/24/2023
4/22/2023,TXN00000583,11/18/2018,Hineini Pledges,3374,11/18/2018,10018,2/11/1983,ACC010074,TYPE1,4/23/2023
4/22/2023,TXN00000586,11/18/2018,High Holiday Tickets,500,11/18/2018,10018,2/11/1983,ACC010074,TYPE4,4/22/2023
4/22/2023,TXN00001138,11/18/2015,High Holiday Tickets,441,11/18/2015,10069,4/2/1987,ACC010146,TYPE4,4/22/2023
4/23/2023,TXN00001297,11/18/2017,Hineini Pledges,1843,11/18/2017,10010,1/19/1946,ACC010170,TYPE1,4/23/2023
4/24/2023,TXN00000467,11/18/2000,High Holiday Tickets,500,11/18/2000,11206,10/26/1983,ACC010060,TYPE4,4/25/2023
4/25/2023,TXN00000215,11/18/2006,Hineini Pledges,10171,11/18/2006,11201,3/17/1941,ACC010026,TYPE1,4/25/2023
4/25/2023,TXN00000303,11/18/2015,Adult Education,75,11/18/2015,10012,4/1/1964,ACC010037,TYPE5,4/26/2023
4/25/2023,TXN00000914,11/18/2022,Religious School Fees,3000,11/18/2022,10011,10/6/1985,ACC010117,TYPE3,4/26/2023
4/26/2023,TXN00001267,11/18/2019,Hineini Pledges,10382,11/18/2019,10039,11/13/1946,ACC010165,TYPE1,4/27/2023
4/26/2023,TXN00001512,11/18/2006,High Holiday Tickets,500,11/18/2006,10075,8/5/1975,ACC010198,TYPE4,4/26/2023
4/27/2023,TXN00001139,11/18/2015,High Holiday Tickets,500,11/18/2015,10069,4/2/1987,ACC010146,TYPE4,4/29/2023
4/27/2023,TXN00001196,11/18/2006,HH Pledges/Memorial Book,539,11/18/2006,10019,9/26/1992,ACC010154,TYPE2,4/29/2023
4/29/2023,TXN00000602,11/18/2010,High Holiday Tickets,500,11/18/2010,10012,2/21/1949,ACC010076,TYPE4,4/29/2023
4/30/2023,TXN00000603,11/18/2010,High Holiday Tickets,291,11/18/2010,10012,2/21/1949,ACC010076,TYPE4,5/1/2023
4/30/2023,TXN00001068,11/18/2004,Hineini Pledges,1800,11/18/2004,10128,1/4/1958,ACC010138,TYPE1,4/30/2023
4/30/2023,TXN00001077,11/18/2005,HH Pledges/Memorial Book,1000,11/18/2005,10024,10/5/1983,ACC010139,TYPE2,5/2/2023
4/30/2023,TXN00001165,11/18/1999,High Holiday Tickets,181,11/18/1999,11205,3/3/1989,ACC010149,TYPE4,5/2/2023
4/30/2023,TXN00001318,11/18/2015,High Holiday Tickets,500,11/18/2015,10075,2/25/1969,ACC010173,TYPE4,5/1/2023
5/1/2023,TXN00000385,11/18/2024,Religious School Fees,3000,11/18/2024,11205,5/25/1977,ACC010049,TYPE3,5/2/2023
5/1/2023,TXN00001054,11/18/1995,Building Fund,539,11/18/1995,10012,8/28/1950,ACC010136,TYPE6,5/1/2023
5/1/2023,TXN00001359,11/18/2016,High Holiday Tickets,500,11/18/2016,10001,5/22/1956,ACC010177,TYPE4,5/3/2023
5/2/2023,TXN00000069,11/18/2008,Religious School Fees,1883,11/18/2008,10036,4/24/1949,ACC010007,TYPE3,5/2/2023
5/2/2023,TXN00000834,11/18/2003,Hineini Pledges,2386,11/18/2003,10282,7/16/1971,ACC010106,TYPE1,5/4/2023
5/3/2023,TXN00000613,11/18/2004,Building Fund,2558,11/18/2004,10029,7/26/1970,ACC010078,TYPE6,5/5/2023
5/4/2023,TXN00000456,11/18/2000,High Holiday Tickets,500,11/18/2000,10128,1/8/1963,ACC010059,TYPE4,5/6/2023
5/6/2023,TXN00000016,11/18/2000,Hineini Pledges,1800,11/18/2000,11205,12/21/1967,ACC010002,TYPE1,5/6/2023
5/6/2023,TXN00000808,11/18/2008,HH Pledges/Memorial Book,1000,11/18/2008,10040,4/16/1994,ACC010103,TYPE2,5/8/2023
5/7/2023,TXN00000258,11/18/2014,Building Fund,175,11/18/2014,10011,12/21/1951,ACC010032,TYPE6,5/9/2023
5/7/2023,TXN00001125,11/18/2002,HH Pledges/Memorial Book,383,11/18/2002,11205,6/19/1987,ACC010145,TYPE2,5/9/2023
5/7/2023,TXN00001216,11/18/2000,Building Fund,2573,11/18/2000,10030,3/19/1971,ACC010156,TYPE6,5/9/2023
5/8/2023,TXN00000291,11/18/2021,HH Pledges/Memorial Book,619,11/18/2021,10001,4/18/1986,ACC010036,TYPE2,5/8/2023
5/8/2023,TXN00000840,11/18/1996,Building Fund,5000,11/18/1996,11222,7/18/1972,ACC010107,TYPE6,5/9/2023
5/8/2023,TXN00000884,11/18/2012,High Holiday Tickets,191,11/18/2012,10024,9/6/1965,ACC010113,TYPE4,5/10/2023
5/9/2023,TXN00000490,11/18/2013,HH Pledges/Memorial Book,1000,11/18/2013,10021,1/17/1955,ACC010063,TYPE2,5/10/2023
5/9/2023,TXN00000491,11/18/2013,High Holiday Tickets,500,11/18/2013,10021,1/17/1955,ACC010063,TYPE4,5/11/2023
5/10/2023,TXN00000769,11/18/1995,Hineini Pledges,3666,11/18/1995,10001,7/5/1962,ACC010099,TYPE1,5/10/2023
5/11/2023,TXN00000360,11/18/2005,Adult Education,300,11/18/2005,10032,6/15/1970,ACC010045,TYPE5,5/13/2023
5/12/2023,TXN00000361,11/18/2005,Hineini Pledges,8484,11/18/2005,10032,6/15/1970,ACC010045,TYPE1,5/14/2023
5/13/2023,TXN00000282,11/18/2016,Building Fund,5000,11/18/2016,11201,4/5/1946,ACC010035,TYPE6,5/15/2023
5/14/2023,TXN00000596,11/18/2009,HH Pledges/Memorial Book,1000,11/18/2009,10016,12/14/1954,ACC010075,TYPE2,5/15/2023
5/14/2023,TXN00000722,11/18/2022,HH Pledges/Memorial Book,1000,11/18/2022,10026,11/6/1985,ACC010092,TYPE2,5/16/2023
5/16/2023,TXN00000090,11/18/2000,Building Fund,5000,11/18/2000,10023,2/18/1960,ACC010010,TYPE6,5/17/2023
5/19/2023,TXN00000737,11/18/2012,Hineini Pledges,5273,11/18/2012,10035,8/19/1988,ACC010095,TYPE1,5/21/2023
5/19/2023,TXN00001282,11/18/2015,Hineini Pledges,1802,11/18/2015,11201,11/4/1992,ACC010168,TYPE1,5/19/2023
5/20/2023,TXN00000259,11/18/2014,Building Fund,4986,11/18/2014,10011,12/21/1951,ACC010032,TYPE6,5/21/2023
5/20/2023,TXN00000941,11/18/1996,Adult Education,300,11/18/1996,10031,4/16/1952,ACC010121,TYPE5,5/21/2023
5/20/2023,TXN00001255,11/18/2017,Hineini Pledges,5255,11/18/2017,10031,10/28/1952,ACC010163,TYPE1,5/20/2023
5/21/2023,TXN00000677,11/18/2002,Adult Education,75,11/18/2002,11217,11/15/1996,ACC010087,TYPE5,5/23/2023
5/22/2023,TXN00000367,11/18/2000,Hineini Pledges,4946,11/18/2000,10024,10/9/1993,ACC010046,TYPE1,5/22/2023
5/22/2023,TXN00000816,11/18/2003,Hineini Pledges,3001,11/18/2003,10025,9/1/1961,ACC010104,TYPE1,5/23/2023
